# frame	input	Bezier Euler
480	6.42394	15.4849
481	6.6041	13.3384
482	6.78108	10.5204
484	7.18919	2.49953
485	7.42111	-2.99481
486	7.64931	-9.40361
487	7.83985	-16.6215
488	7.95344	-24.5431
489	7.94651	-33.063
490	7.78173	-42.0759
491	7.42743	-51.4763
492	6.8536	-61.1589
493	6.02864	-71.0184
494	4.89106	-80.9493
495	3.31392	-90.8463
496	1.0107	-100.604
497	-2.73522	-110.117
498	-10.1159	-119.28
499	-30.9194	-127.987
500	-99.7233	-136.134
