# frame	input	linear Euler
445	-14.2303	-13.4704
446	-14.4343	-13.4524
447	-14.6243	-13.4344
448	-14.7905	-13.4165
449	-14.9269	-13.3985
450	-15.0301	-13.3805
451	-15.0995	-13.3625
452	-15.1347	-13.3446
453	-15.1361	-13.3266
454	-15.1034	-13.3086
455	-15.0352	-13.2906
456	-14.9283	-13.2727
457	-14.7771	-13.2547
458	-14.5756	-13.2367
459	-14.3162	-13.2187
460	-13.9936	-13.2008
461	-13.6079	-13.1828
462	-13.1648	-13.1648
463	-12.6773	-12.6638
464	-12.1629	-12.1629
465	-11.64	-11.6619
466	-11.1229	-11.1609
467	-10.6185	-10.66
468	-10.1253	-10.159
469	-9.6336	-9.65803
470	-9.12904	-9.15707
471	-8.59768	-8.6561
472	-8.03338	-8.15513
473	-7.43834	-7.65417
474	-6.8271	-7.1532
475	-6.22005	-6.65223
476	-5.63991	-6.15127
477	-5.10545	-5.6503
478	-4.62605	-5.14933
479	-4.20002	-4.64837
480	-3.81247	-4.1474
481	-3.44019	-3.64643
482	-3.05791	-3.14547
483	-2.6445	-2.6445
484	-2.19487	-10.4341
485	-1.71833	-18.2238
486	-1.24118	-26.0134
487	-0.803801	-33.8031
488	-0.451822	-41.5927
489	-0.234272	-49.3824
490	-0.191135	-57.172
491	-0.353747	-64.9616
492	-0.749235	-72.7513
493	-1.40368	-80.5409
494	-2.37211	-88.3306
495	-3.77499	-96.1202
496	-5.89447	-103.91
497	-9.44456	-111.7
498	-16.6175	-119.489
499	-37.2042	-127.279
500	-105.786	-135.068
