# frame	input	Bezier SLERP quaternion
479	6.2198	6.4894
480	6.42394	6.79513
481	6.6041	6.98451
482	6.78108	7.04202
484	7.18919	7.05478
485	7.42111	7.05229
486	7.64931	6.96349
487	7.83985	6.77601
488	7.95344	6.46236
489	7.94651	5.96635
490	7.78173	5.16901
491	7.42743	3.78674
492	6.8536	0.973593
493	6.02864	-7.25181
494	4.89106	-77.665
495	3.31392	-152.259
496	1.0107	-160.707
497	-2.73522	-163.445
498	-10.1159	-164.645
499	-30.9194	-165.163
500	-99.7233	-165.261
